SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2SPX,P,2024-07-03,2024-12-20,170,5549.83,150.9677,923
2SPX,C,2024-07-03,2024-12-20,170,5560.74,245.8561,368
2SPX,P,2024-07-03,2024-12-20,170,5560.74,155.0189,368
2SPX,C,2024-07-03,2024-12-20,170,5561.18,245.5901,368
2SPX,P,2024-07-03,2024-12-20,170,5561.18,155.1823,368
2SPX,C,2024-07-03,2024-12-20,170,5568.74,241.0193,184
2SPX,P,2024-07-03,2024-12-20,170,5568.74,157.9895,184
2SPX,C,2024-07-03,2024-12-20,170,5578.57,235.0761,458
2SPX,P,2024-07-03,2024-12-20,170,5578.57,161.6397,458
2SPX,C,2024-07-03,2024-12-20,170,5590.35,227.9539,181
2SPX,P,2024-07-03,2024-12-20,170,5590.35,166.0139,181
2SPX,C,2024-07-03,2024-12-20,170,5592.26,226.7991,183
2SPX,P,2024-07-03,2024-12-20,170,5592.26,166.7232,183
2SPX,C,2024-07-03,2024-12-20,170,5593.27,226.1885,550
2SPX,P,2024-07-03,2024-12-20,170,5593.27,167.0982,550
2SPX,C,2024-07-03,2024-12-20,170,5593.74,225.9043,458
2SPX,P,2024-07-03,2024-12-20,170,5593.74,167.2727,458
2SPX,C,2024-07-03,2024-12-20,170,5593.88,225.8197,449
2SPX,P,2024-07-03,2024-12-20,170,5593.88,167.3247,449
2SPX,C,2024-07-03,2024-12-20,170,5594.24,225.602,183
2SPX,P,2024-07-03,2024-12-20,170,5594.24,167.4584,183
2SPX,C,2024-07-03,2024-12-20,170,5604.21,219.5743,731
2SPX,P,2024-07-03,2024-12-20,170,5604.21,171.1607,731
2SPX,C,2024-07-03,2024-12-20,170,5604.66,219.3023,639
2SPX,P,2024-07-03,2024-12-20,170,5604.66,171.3278,639
2SPX,C,2024-07-03,2024-12-20,170,5610.71,215.6445,182
2SPX,P,2024-07-03,2024-12-20,170,5610.71,173.5744,182
2SPX,C,2024-07-03,2024-12-20,170,5616.28,212.277,156
2SPX,C,2024-07-03,2024-12-20,170,5634.64,201.1768,455
2SPX,P,2024-07-03,2024-12-20,170,5634.64,182.4606,455
2SPX,C,2024-07-03,2024-12-20,170,6073.8,36.4657,183
2SPX,C,2024-07-03,2024-12-20,170,6128.52,28.1273,183
2SPX,C,2024-07-03,2024-12-20,170,6636.3,2.9662,113
2SPX,C,2024-07-03,2024-12-20,170,9200.01,0.0001,2
2SPX,P,2024-07-03,2024-12-20,170,9200.01,3460.825,2
