,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
134,134,2024-04-08,2NDX,P,2024-12-20,10000.01,34.1501,77,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
135,135,2024-04-08,2NDX,C,2024-12-20,10592.57,7900.635,23,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
136,136,2024-04-08,2NDX,P,2024-12-20,10592.57,43.9604,23,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
137,137,2024-04-08,2NDX,P,2024-12-20,11000.01,52.2001,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
138,138,2024-04-08,2NDX,P,2024-12-20,11500.01,64.5124,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
139,139,2024-04-08,2NDX,P,2024-12-20,11600.01,67.1615,24,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
140,140,2024-04-08,2NDX,C,2024-12-20,11650.45,6904.836,69,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
141,141,2024-04-08,2NDX,P,2024-12-20,11650.45,68.4977,69,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
142,142,2024-04-08,2NDX,C,2024-12-20,11776.06,6787.226,23,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
143,143,2024-04-08,2NDX,P,2024-12-20,11776.06,72.0397,23,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
144,144,2024-04-08,2NDX,C,2024-12-20,11778.75,6784.711,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
145,145,2024-04-08,2NDX,P,2024-12-20,11778.75,72.1192,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
146,146,2024-04-08,2NDX,C,2024-12-20,11875.46,6694.393,64,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
